Month,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
0,-0.31,13.41,0.10,10.10,10.80,11.30,11.50,11.90,12.20,12.60,13.40,14.30,14.80,15.20,15.80,16.10,16.90,18.30
1,0.27,14.94,0.09,11.20,12.00,12.60,12.80,13.30,13.60,14.10,14.90,15.90,16.40,16.70,17.30,17.60,18.30,19.60
2,0.11,16.32,0.09,12.40,13.30,13.80,14.10,14.60,14.90,15.40,16.30,17.30,17.80,18.20,18.80,19.20,19.90,21.30
3,0.01,16.90,0.08,13.00,13.90,14.40,14.70,15.20,15.50,16.00,16.90,17.90,18.50,18.80,19.40,19.80,20.60,22.00
4,-0.07,17.16,0.08,13.30,14.10,14.70,15.00,15.40,15.70,16.20,17.20,18.20,18.70,19.10,19.70,20.10,20.90,22.30
5,-0.14,17.29,0.08,13.40,14.30,14.80,15.10,15.60,15.90,16.40,17.30,18.30,18.90,19.20,19.80,20.20,21.00,22.40
6,-0.19,17.34,0.08,13.50,14.40,14.90,15.20,15.60,15.90,16.40,17.30,18.30,18.90,19.30,19.90,20.30,21.10,22.50
7,-0.24,17.33,0.08,13.60,14.40,14.90,15.20,15.60,15.90,16.40,17.30,18.30,18.90,19.30,19.90,20.30,21.10,22.50
8,-0.28,17.26,0.08,13.50,14.40,14.90,15.10,15.60,15.90,16.30,17.30,18.20,18.80,19.20,19.80,20.20,21.00,22.40
9,-0.32,17.17,0.08,13.50,14.30,14.80,15.10,15.50,15.80,16.30,17.20,18.10,18.70,19.10,19.70,20.10,20.80,22.30
10,-0.35,17.05,0.08,13.40,14.20,14.70,15.00,15.40,15.70,16.20,17.00,18.00,18.60,18.90,19.50,19.90,20.70,22.10
11,-0.38,16.92,0.08,13.30,14.10,14.60,14.90,15.30,15.60,16.00,16.90,17.90,18.40,18.80,19.40,19.80,20.50,22.00
12,-0.41,16.80,0.08,13.30,14.00,14.50,14.80,15.20,15.50,15.90,16.80,17.70,18.30,18.70,19.20,19.60,20.40,21.80
13,-0.44,16.67,0.08,13.20,13.90,14.40,14.70,15.10,15.40,15.80,16.70,17.60,18.10,18.50,19.10,19.50,20.20,21.60
14,-0.46,16.55,0.08,13.10,13.90,14.30,14.60,15.00,15.30,15.70,16.60,17.50,18.00,18.40,18.90,19.30,20.10,21.50
15,-0.49,16.44,0.08,13.00,13.80,14.20,14.50,14.90,15.20,15.60,16.40,17.40,17.90,18.20,18.80,19.20,19.90,21.30
16,-0.51,16.33,0.08,13.00,13.70,14.20,14.40,14.80,15.10,15.50,16.30,17.20,17.80,18.10,18.70,19.10,19.80,21.20
17,-0.53,16.23,0.08,12.90,13.60,14.10,14.30,14.70,15.00,15.40,16.20,17.10,17.60,18.00,18.60,18.90,19.70,21.10
18,-0.55,16.14,0.08,12.80,13.60,14.00,14.20,14.60,14.90,15.30,16.10,17.00,17.50,17.90,18.50,18.80,19.60,21.00
19,-0.57,16.05,0.08,12.80,13.50,13.90,14.20,14.60,14.80,15.20,16.10,16.90,17.40,17.80,18.40,18.70,19.50,20.80
20,-0.58,15.97,0.08,12.70,13.40,13.90,14.10,14.50,14.80,15.20,16.00,16.90,17.40,17.70,18.30,18.60,19.40,20.70
21,-0.60,15.90,0.08,12.70,13.40,13.80,14.10,14.40,14.70,15.10,15.90,16.80,17.30,17.60,18.20,18.60,19.30,20.60
22,-0.62,15.84,0.08,12.70,13.30,13.80,14.00,14.40,14.60,15.00,15.80,16.70,17.20,17.60,18.10,18.50,19.20,20.60
23,-0.63,15.79,0.08,12.60,13.30,13.70,14.00,14.30,14.60,15.00,15.80,16.70,17.10,17.50,18.00,18.40,19.10,20.50
24,-0.65,15.74,0.08,12.60,13.30,13.70,13.90,14.30,14.50,14.90,15.70,16.60,17.10,17.40,18.00,18.30,19.10,20.40
